name,taxonomy,imageURL,remarks,temprange,phRange,detailsUrl
Brown-Point Shield Skin,Aspidoras fuscoguttatus,https://upload.wikimedia.org//wikipedia/commons/7/72/Aspidoras_fuscoguttatus.jpg,30 Gallons,22–25 °C (72–77 °F)[1],"5.5–6.8[1]
",
Aspidoras Cory-Cat,Aspidoras lakoi,,28 Gallons,22–25 °C (72–77 °F),,
Loach catfish,Aspidoras rochai,,,"21 - 25 degrees Celsius[3]
","6.0-7.5[3]
",
"Sixray corydoras, false corydoras",Aspidoras pauciradiatus,https://upload.wikimedia.org//wikipedia/en/1/1a/False_cory_1.jpg,,73–82 °F (23–28 °C),"6.0-7.2[4]
",https://en.wikipedia.org//wiki/Aspidoras_pauciradiatus
Britski's catfish,Brochis britskii,,,20–24 °C (68–75 °F),"6.5-7.2[5]
",https://en.wikipedia.org//wiki/Corydoras_britskii
Emerald catfish,Brochis splendens,https://upload.wikimedia.org//wikipedia/commons/8/8b/Brochis_splendens_im_Aquarium.jpg,,70–82 °F (21–28 °C),"5.8-8.0[6]
",https://en.wikipedia.org//wiki/Brochis_splendens
Hognosed brochis,Brochis multiradiatus,https://upload.wikimedia.org//wikipedia/commons/2/2a/Fish_at_Louisville_Zoo_025.jpg,,70-75 °F (21-24 °C),"6.0-7.2
",https://en.wikipedia.org//wiki/Brochis_multiradiatus
Cascarudo,Callichthys callichthys,https://upload.wikimedia.org//wikipedia/commons/9/9a/Callichthys_callichthys.JPG,,"64–83 °F (18–28 °C).
","5.8-8.3
",
Adolfo's catfish/corydoras,Corydoras adolfoi,https://upload.wikimedia.org//wikipedia/commons/5/55/Corydoras_adolfoi.jpg,,72–79 °F (22–26 °C),"6.0-7.0
",https://en.wikipedia.org//wiki/Corydoras_adolfoi
Banded corydoras,Scleromystax barbatus,https://upload.wikimedia.org//wikipedia/commons/1/1f/Schleromystax_barbatus5015.jpg,,"68 °F (20 °C) to 82 °F (28 °C)
","6.0–8.0
",https://en.wikipedia.org//wiki/Scleromystax_barbatus
"Masked corydoras, bandit corydoras",Corydoras metae,https://upload.wikimedia.org//wikipedia/commons/c/c4/Acuario.jpg,,72–79 °F (22–26 °C),"6.0-7.0
",https://en.wikipedia.org//wiki/Corydoras_metae
Barred-tail corydoras,Corydoras cochui,https://upload.wikimedia.org//wikipedia/commons/6/6e/Barred_tail_corydoras.jpg,,70-75º F,"6.0 - 7.0
",https://en.wikipedia.org//wiki/Corydoras_cochui
Blackstripe corydoras,Corydoras bondi,,,,,https://en.wikipedia.org//wiki/Corydoras_bondi
Blacktop corydoras,Corydoras acutus,https://upload.wikimedia.org//wikipedia/commons/2/22/Corydoras_acutus_by_Frank_M._Greco.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_acutus
Blue corydoras,Corydoras nattereri,https://upload.wikimedia.org//wikipedia/commons/2/2e/Corydoras_nattereri.JPG,,,,https://en.wikipedia.org//wiki/Corydoras_nattereri
Bluespotted corydoras,Corydoras melanistius,,,,,https://en.wikipedia.org//wiki/Corydoras_melanistius
"Bronze corydoras, Emerald green cory",Corydoras aeneus,https://upload.wikimedia.org//wikipedia/commons/4/47/Corydoras_aeneus_2.jpg,,77 °F to 82 ° (25 °C to 28 °C),,https://en.wikipedia.org//wiki/Corydoras_aeneus
Caracha,Corydoras atropersonatus,https://upload.wikimedia.org//wikipedia/commons/6/61/Corydoras_Atropersonatus.jpg,,,,
Ehrhardt's corydoras,Corydoras ehrhardti,,,,,
Evelyn's cory,Corydoras evelynae,,,,,
Loxozonus cory,Corydoras loxozonus,,,,,
Corydoras nain,Corydoras nanus,,,,,
Long nosed arched cory,Corydoras narcissus,,,,,
Dwarf corydoras,Corydoras hastatus,https://upload.wikimedia.org//wikipedia/commons/f/f4/Corydoras_hastatus.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_hastatus
Elegant corydoras,Corydoras elegans,https://upload.wikimedia.org//wikipedia/commons/f/f3/Corydoras_elegans.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_elegans
False network catfish,Corydoras sodalis,,,,,https://en.wikipedia.org//wiki/Corydoras_sodalis
False spotted catfish,Corydoras leucomelas,https://upload.wikimedia.org//wikipedia/commons/3/37/Corydoras_leucomelas.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_leucomelas
Gold laser cory,Corydoras melanotaenia,https://upload.wikimedia.org//wikipedia/commons/7/71/Corydoras_sp._CW010.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_melanotaenia
Guapore corydoras,Corydoras guapore,,,,,https://en.wikipedia.org//wiki/Corydoras_guapore
"Mosaic corydoras, reticulated corydoras",Corydoras haraldschultzi,https://upload.wikimedia.org//wikipedia/commons/8/85/Corydoras_haraldschultzi_aquarium.jpg,,,,
"Mosaic corydoras, reticulated corydoras",Corydoras reticulatus,,,,,
Panda corydoras,Corydoras panda,https://upload.wikimedia.org//wikipedia/commons/9/97/Corydoras_panda_01.jpg,,,"6.0-8.0[8]
",
Pastaza corydoras,Corydoras pastazensis,,,,,https://en.wikipedia.org//wiki/Corydoras_pastazensis
"Peppered corydoras, salt and pepper catfish",Corydoras paleatus,https://upload.wikimedia.org//wikipedia/commons/6/69/Corydoras_paleatus_by_NiKo.jpg,,,,
Pink corydoras,Corydoras axelrodi,,,,,https://en.wikipedia.org//wiki/Corydoras_axelrodi
Pygmy corydoras,Corydoras pygmaeus,https://upload.wikimedia.org//wikipedia/commons/5/5e/Corydoras_pygmaeus5333.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_pygmaeus
Sailfin corydoras,Scleromystax macropterus,,,,,https://en.wikipedia.org//wiki/Scleromystax_macropterus
Salt and pepper catfish/corydoras,Corydoras habrosus,https://upload.wikimedia.org//wikipedia/commons/3/3e/Corydoras_habrosus.png,,,,https://en.wikipedia.org//wiki/Corydoras_habrosus
Schwartz's catfish,Corydoras schwartzi,https://upload.wikimedia.org//wikipedia/commons/2/23/Corydoras_schwartzi.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_schwartzi
"Spotted corydoras, longnose corydoras",Corydoras ambiacus,,,,,https://en.wikipedia.org//wiki/Corydoras_ambiacus
Sterba's corydoras,Corydoras sterbai,https://upload.wikimedia.org//wikipedia/commons/d/df/Corydoras_sterbai.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_sterbai
Sychr's catfish,Corydoras sychri,,,,,https://en.wikipedia.org//wiki/Corydoras_sychri
Tailspot corydoras,Corydoras caudimaculatus,,,,,https://en.wikipedia.org//wiki/Corydoras_caudimaculatus
"Threestripe corydoras, leopard catfish, false julii cory",Corydoras trilineatus,https://upload.wikimedia.org//wikipedia/commons/2/26/Corydoras_trilineatus3.jpg,,,,https://en.wikipedia.org//wiki/Corydoras_trilineatus
Xingu corydoras,Corydoras xinguensis,,,,,https://en.wikipedia.org//wiki/Corydoras_xinguensis
Julii corydoras,Corydoras julii,https://upload.wikimedia.org//wikipedia/commons/e/e0/Corydoras_julii.jpg,,,,
"Flagtail catfish
","Dianema urostriatum
",https://upload.wikimedia.org//wikipedia/commons/f/fa/Dianema_urostriata.JPG,,"77° – 82 °F
(25° – 28 °C)

","6.0-8.0
",https://en.wikipedia.org//wiki/Dianema_urostriatum
"Bristlenose pleco, bushynose pleco",Ancistrus sp.,https://upload.wikimedia.org//wikipedia/commons/8/8d/Bristlenose_Catfish_700.jpg,"The bristlenose genus has at least 59 identified species and many others yet to be named [12]. Males and female both have long ""bristles"" on their nose, the males having distinctly longer ones.","72-84 F (20-27 C)
","|
",
Gold nugget pleco,Baryancistrus sp.,https://upload.wikimedia.org//wikipedia/commons/c/c5/Baryancistrus-L018.jpg,,"77-86 F (25-30 C)
","|
",
Whiptail catfish,Rineloricaria sp.,https://upload.wikimedia.org//wikipedia/commons/4/4f/Viola_%28Rineloricaria_longicauda%29_2.jpg,,,,
Twig catfish,Farlowella sp.,https://upload.wikimedia.org//wikipedia/commons/7/7c/Farlowella_arcus_3.jpg,,,,
Panaque,Panaque sp.,https://upload.wikimedia.org//wikipedia/commons/9/94/Panaque.JPG,,,,
"Pineapple pleco, orange cheek pleco",Pseudorinelepis sp.,https://upload.wikimedia.org//wikipedia/commons/7/78/Pineapplepleco.JPG,,,,
"Common pleco, suckermouth catfish, Amazon sailfin catfish",Pterygoplichthys pardalis,https://upload.wikimedia.org//wikipedia/commons/a/a8/Liposarcus_pardalis.jpg,,,,
"Common pleco, suckermouth catfish",Hypostomus punctatus,https://upload.wikimedia.org//wikipedia/commons/1/16/SukermouthCatfish.jpg,,,,
"Common pleco, suckermouth catfish",Hypostomus plecostomus,https://upload.wikimedia.org//wikipedia/commons/3/3e/Pterygoplichthys_pardalis_700.jpg,,,,
"Leopard sailfin pleco, clown sailfin pleco",Pterygoplichthys gibbiceps,https://upload.wikimedia.org//wikipedia/commons/3/35/Sailfin-pleco.jpg,,,,
"Zebra pleco, L-046",Hypancistrus zebra,https://upload.wikimedia.org//wikipedia/commons/9/9c/Hypancistrus_zebra4305.jpg,"One of the most popular Hypancistrus species.
Endangered.[13]

",,,https://en.wikipedia.org//wiki/Hypancistrus_zebra
Sailfin catfish,Pterygoplichthys multiradiatus,https://upload.wikimedia.org//wikipedia/commons/0/03/Liposarcus_multiradiatus_01_ssj_20050321.jpg,,,,
"Golden dwarf sucker, golden oto",Macrotocinclus affinis,https://upload.wikimedia.org//wikipedia/commons/e/e4/Otocinclus_affinis.JPG,,,,https://en.wikipedia.org//wiki/Macrotocinclus_affinis
"Zebra dwarf sucker, zebra oto",Otocinclus cocama,https://upload.wikimedia.org//wikipedia/commons/a/ad/Otocinclus_cocama.jpg,,,,https://en.wikipedia.org//wiki/Otocinclus_cocama
Bolt catfish,Aguarunichthys torosus,,,,,
Gold Zebra catfish,Brachyplatystoma juruense,,,,,
Zebra shovelnose,Brachyplatystoma tigrinum,,,,,
"Vulture Catfish, zamurito",Calophysus macropterus ,https://upload.wikimedia.org//wikipedia/commons/3/3c/Pimelodidae_Callophysus_macropterus.jpg,,,,
Redtail catfish,Phractocephalus hemioliopterus,https://upload.wikimedia.org//wikipedia/commons/d/df/Phractocephalus_hemioliopterus2.JPG,,"70–79 °F (21–26 °C)[14]
","6.0–7.5[14]
",https://en.wikipedia.org//wiki/Phractocephalus_hemioliopterus
"Spotted pimelodus, pictus, pictus catfish",Pimelodus pictus,https://upload.wikimedia.org//wikipedia/commons/1/1d/Pimelodus_pictus.jpg,,,,
Ornate Pimelodus,Pimelodus ornatus,,,,,
Sturgeon catfish,Platystomatichthys sturio,,,,,https://en.wikipedia.org//wiki/Platystomatichthys_sturio
Barred sorubim,Pseudoplatystoma fasciatum,,,,,
Tiger sorubim,Pseudoplatystoma tigrinum,https://upload.wikimedia.org//wikipedia/commons/f/f9/Pseudoplatystoma_tigrinum1.jpg,,,,
"Firewood catfish, (planiceps) shovelnose catfish",Sorubimichthys planiceps,https://upload.wikimedia.org//wikipedia/commons/e/e8/Firewood_catfish.jpg,,,,https://en.wikipedia.org//wiki/Sorubimichthys_planiceps
Lima shovelnose catfish,Sorubium lima,https://upload.wikimedia.org//wikipedia/commons/8/89/Silure_spatule.jpg,,,,
Cuckoo squeaker,Synodontis multipunctatus,https://upload.wikimedia.org//wikipedia/commons/d/de/Synodontis-multipunctatus.jpg,,,,
Decorated squeaker,Synodontis decorus,,,,,
Even-Spotted squeaker,Synodontis petricola,https://upload.wikimedia.org//wikipedia/commons/8/8a/Synodontis_petricola.jpg,,,,
Featherfin squeaker,Synodontis eupterus,https://upload.wikimedia.org//wikipedia/commons/7/7c/Synodontis_Eupterus_3.JPG,,,,https://en.wikipedia.org//wiki/Synodontis_eupterus
Lake Malawi syno,Synodontis njassae,https://upload.wikimedia.org//wikipedia/commons/9/9b/Synodontis_njassae_01_ssj_20050321.jpg,,,,https://en.wikipedia.org//wiki/Synodontis_njassae
Polka dot syno,Synodontis angelicus,https://upload.wikimedia.org//wikipedia/commons/3/37/Synodontis_angelica.jpg,,,,
"Common syno, false upside-down catfish",Synodontis nigrita,,,,,
Upside-down catfish,Synodontis nigriventris,https://upload.wikimedia.org//wikipedia/commons/8/8d/Synodontis.jpg,"S. nigriventris prefers bottom feeding on Tubifex (or similar worms), but its main diet consists of algae.[15]",,,
Three-striped African catfish,Pareutropius buffei,,,,,
Giraffe catfish,Auchenoglanis occidentalis,https://upload.wikimedia.org//wikipedia/commons/2/24/Auchenoglanis_occidentalis_01_by_Line1.JPG,,,,https://en.wikipedia.org//wiki/Auchenoglanis_occidentalis
Electric catfish,Malapterurus electricus,https://upload.wikimedia.org//wikipedia/commons/b/b5/Malapterurus_electricus_1.jpg,,,,
Black lancer catfish,Bagrichthys macracanthus,,,,,https://en.wikipedia.org//wiki/Bagrichthys_macracanthus
Harlequin lancer catfish,Bagroides melapterus,,,,,
Crystal-eyed catfish,Hemibagrus wyckii,,,,,
Asian redtail catfish,Hemibagrus wyckioides,,,,,
Shadow catfish,Hyalobagrus flavus,https://upload.wikimedia.org//wikipedia/commons/6/68/Pelteobagrus_ornatus_%284222100061%29.jpg,,,,
Dwarf bumblebee catfish,Pseudomystus leiacanthus,,,,,
Asian bumblebee catfish,Pseudomystus siamensis,,,,,
Dinema catfish,Belodontichthys dinema,https://upload.wikimedia.org//wikipedia/commons/4/4c/Belodontichthys_dinema.jpg,,,,
Glass catfish,Kryptopterus vitreolus,https://upload.wikimedia.org//wikipedia/commons/5/54/Glaswelse.jpg,,,,
Striped glass catfish,Kryptopterus macrocephalus,,,,,
Borneo glass catfish,Ompok eugeneiatus,,,,,
Striped wallago catfish,Wallago leerii,https://upload.wikimedia.org//wikipedia/commons/7/7d/Wallagonia_leerii.jpg,,,,https://en.wikipedia.org//wiki/Wallago_leerii
Chocolate frogmouth catfish,Chaca bankanensis,https://upload.wikimedia.org//wikipedia/commons/1/17/Chaca_bankanensis_juveniles.png,,,,
Asian banjo catfish,Acrochordonichthys rugosus,,,,,
Walking catfish,Clarias batrachus,https://upload.wikimedia.org//wikipedia/commons/3/34/Clarias_batrachus_Aquarium_tropical_du_Palais_de_la_Porte_Dor%C3%A9e_10_04_2016_1.jpg,"The albino form is common in the aquarium trade. This fish can survive out of the water and ""walk"" as long as kept wet, for a very long time. [16]",,,https://en.wikipedia.org//wiki/Clarias_batrachus
Stinging catfish,Heteropneustes fossilis,https://upload.wikimedia.org//wikipedia/commons/b/bc/%D0%9C%D0%B5%D1%88%D0%BA%D0%BE%D0%B6%D0%B0%D0%B1%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%81%D0%BE%D0%BC_%D0%93%D1%80%D0%BE%D0%B4%D0%BD%D0%BE.JPG,,,,
Sun catfish,Horabagrus brachysoma,https://upload.wikimedia.org//wikipedia/commons/8/84/The_Manjakoori_%28Sun_Catfish%29_from_the_Chalakudy_River%2C_Kerala.jpg,,,,
Iridescent shark,Pangasianodon hypophthalmus,https://upload.wikimedia.org//wikipedia/commons/7/73/Aquarium_tropical_de_Pierrefitte-Nestalas_03082018_Pangasianodon_hypophthalmus_2.jpg,,,,https://en.wikipedia.org//wiki/Pangasianodon_hypophthalmus
"Chao Phraya giant shark, giant pangasius",Pangasius sanitwongsei,https://upload.wikimedia.org//wikipedia/commons/9/99/Pangasiidae_-_Pangasius_sanitwongsei.jpg,,,,https://en.wikipedia.org//wiki/Pangasius_sanitwongsei
Colombian shark catfish,Ariopsis seemanni,https://upload.wikimedia.org//wikipedia/commons/f/f6/MA_Luisenpark_Sciades_seemanni.jpg,,,,https://en.wikipedia.org//wiki/Ariopsis_seemanni
Blue whale catfish,Cetopsis coecutiens,,,,,
Banjo catfish,Bunocephalus coracoideus,,,,,
Striped raphael catfish,Platydoras armatulus,https://upload.wikimedia.org//wikipedia/commons/7/78/Platydoras_costatus_5_%28Piotr_Kuczynski%29.jpg,,,,https://en.wikipedia.org//wiki/Platydoras_armatulus
Spotted raphael catfish,Agamyxis pectinifrons,https://upload.wikimedia.org//wikipedia/commons/7/7e/Dornwels.JPG,,,,
Bottlenose catfish,Ageneiosus marmoratus,,,,,https://en.wikipedia.org//wiki/Ageneiosus_marmoratus
Gulper catfish,Asterophysus batrachus,,,,,
Midnight catfish,Auchenipterichthys coracoideus,,,,,
Oil catfish,Centromochlus perugiae,,,,,
Jaguar catfish,Liosomadoras oncinus,,,,,
Pygmy driftwood catfish,Trachelyichthys exilis,,,,,
Black phantom tetra,Hyphessobrycon megalopterus,https://upload.wikimedia.org//wikipedia/commons/4/40/Hyphessobrycon_megalopterus_Porte_Doree.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_megalopterus
Black neon tetra,Hyphessobrycon herbertaxelrodi,https://upload.wikimedia.org//wikipedia/commons/2/2d/Black_neon_tetra.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_herbertaxelrodi
"Black tetra, skirt tetra",Gymnocorymbus ternetzi,https://upload.wikimedia.org//wikipedia/commons/c/c4/Adulter_Trauermantelsalmer-Gymnocorymbus_ternetzi.jpg,,,,https://en.wikipedia.org//wiki/Gymnocorymbus_ternetzi
Bleeding heart tetra,Hyphessobrycon erythrostigma,https://upload.wikimedia.org//wikipedia/commons/9/98/Kirschflecksalmler-W.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_erythrostigma
Bloodfin tetra,Aphyocharax anisitsi,https://upload.wikimedia.org//wikipedia/commons/d/dc/Aphyocharax_anisitsi_2.jpg,,,,https://en.wikipedia.org//wiki/Aphyocharax_anisitsi
Blue tetra,Knodus borki,https://upload.wikimedia.org//wikipedia/commons/6/6d/Boehlkea_fredcochui_malefemale.jpg,,,,
Bucktooth tetra,Exodon paradoxus,https://upload.wikimedia.org//wikipedia/commons/c/c9/DSCN6064_%286260740474%29.jpg,,,,https://en.wikipedia.org//wiki/Exodon_paradoxus
Buenos Aires tetra,Hyphessobrycon anisitsi,https://upload.wikimedia.org//wikipedia/commons/4/47/Hyphessobrycon_anisitsi.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_anisitsi
Cardinal tetra,Paracheirodon axelrodi,https://upload.wikimedia.org//wikipedia/commons/3/3e/Paracheirodon_cardinalis.JPG,,,,https://en.wikipedia.org//wiki/Paracheirodon_axelrodi
"Cave tetra, blind tetra",Astyanax mexicanus,https://upload.wikimedia.org//wikipedia/commons/e/e0/Astyanax_mexicanus%2C_Palmiarnia_Pozna%C5%84ska.jpg,,,,https://en.wikipedia.org//wiki/Astyanax_mexicanus
Diamond tetra,Moenkhausia pittieri,https://upload.wikimedia.org//wikipedia/commons/e/ee/Brillantsalmler.jpg,,,,https://en.wikipedia.org//wiki/Moenkhausia_pittieri
Ember tetra,Hyphessobrycon amandae,https://upload.wikimedia.org//wikipedia/commons/5/55/AKT_1430bq.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_amandae
Emperor tetra,Nematobrycon palmeri,https://upload.wikimedia.org//wikipedia/commons/5/5e/Emperor_tetra.jpg,,,,
Flame tetra,Hyphessobrycon flammeus,https://upload.wikimedia.org//wikipedia/commons/a/ad/Roter_von_Rio_-_Hyphessobrycon_flammeus.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_flammeus
"Garnet tetra, pretty tetra",Hemigrammus pulcher,https://upload.wikimedia.org//wikipedia/commons/2/23/H.pulcher_IMG_3268.jpg,,,,
Glass bloodfin tetra,Prionobrama filigera,https://upload.wikimedia.org//wikipedia/commons/9/95/Bloodfin_Glass_Tetra.jpg,,,,https://en.wikipedia.org//wiki/Prionobrama_filigera
Glowlight tetra,Hemigrammus erythrozonus,https://upload.wikimedia.org//wikipedia/commons/b/b4/Tetra_Glowlight_cropped.jpg,,,,
Golden pristella tetra,Pristella maxillaris,https://upload.wikimedia.org//wikipedia/commons/c/c4/Pristella_maxillaris.jpg,,,,
Green neon tetra,Paracheirodon simulans,https://upload.wikimedia.org//wikipedia/commons/7/78/Paracheirodon_simulans.jpg,,,,https://en.wikipedia.org//wiki/Paracheirodon_simulans
Head and tail light tetra,Hemigrammus ocellifer,https://upload.wikimedia.org//wikipedia/commons/4/4f/Head-%26-Tail-Light-Tetra.jpg,,,,https://en.wikipedia.org//wiki/Hemigrammus_ocellifer
January tetra,Hemigrammus hyanuary,https://upload.wikimedia.org//wikipedia/commons/4/4c/Hemigrammus_hyanuary_thomnight_001.jpg,,,,https://en.wikipedia.org//wiki/Hemigrammus_hyanuary
Lemon tetra,Hyphessobrycon pulchripinnis,https://upload.wikimedia.org//wikipedia/commons/0/07/Hyphessobrycon_pulchripinnis.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_pulchripinnis
Neon tetra,Paracheirodon innesi,https://upload.wikimedia.org//wikipedia/commons/5/54/Neonka_obecna_paracheirodon_innesi.jpg,,,,https://en.wikipedia.org//wiki/Paracheirodon_innesi
Ornate tetra,Hyphessobrycon bentosi,https://upload.wikimedia.org//wikipedia/commons/1/1d/Schmucksalmler_Hyphessobrycon_bentosi.jpg,,,,
"Penguin tetra, blackline penguinfish",Thayeria boehlkei,https://upload.wikimedia.org//wikipedia/commons/5/5b/Thayeria_boehlkei.jpg,,,,
Red Eye tetra,Moenkhausia sanctaefilomenae,https://upload.wikimedia.org//wikipedia/commons/c/c2/Red_eye_tetra.jpg,,,,https://en.wikipedia.org//wiki/Moenkhausia_sanctaefilomenae
Red phantom tetra,Hyphessobrycon sweglesi,https://upload.wikimedia.org//wikipedia/commons/5/52/Megalamphodussweglesi01.jpg,,,,
Rosy tetra,Hyphessobrycon rosaceus,https://upload.wikimedia.org//wikipedia/commons/4/4a/Male_Rosy_Tetra.JPG,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_rosaceus
Royal tetra,Inpaichthys kerri,https://upload.wikimedia.org//wikipedia/commons/5/58/05.Inpaichtys_kerri.JPG,,,,https://en.wikipedia.org//wiki/Inpaichthys_kerri
